"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status";"premissa_id";"linha_ordem";"descricao";"valor_original";"row_excel";"linha_original"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"13";"18";"PRODUTO";"INVESTIMENTO %";"111";"PRODUTO | EMBALAGEM | Janeiro à Junho | Julho à Dezembro | PERÍODO | ATINGIMENTO | INVESTIMENTO %"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"14";"19";"Objetivo trimestral";"0,5%";"112";"Objetivo trimestral | Objetivo trimestral | TRIMESTRE 1 | CRESCIMENTO ENTRE 15,01% E 25% | 0,5%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"15";"20";"LAVA ROUPAS";"1,0%";"113";"LAVA ROUPAS | 2 LITROS | 7500 | 9000 | TRIMESTRE 1 | CRESCIMENTO ACIMA 25,01% | 1,0%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"16";"21";"LAVA ROUPAS";"0,5%";"114";"LAVA ROUPAS | 3 LITROS | 18000 | 21000 | TRIMESTRE 2 | CRESCIMENTO ENTRE 15,01% E 25% | 0,5%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"17";"22";"LAVA ROUPAS";"1,0%";"115";"LAVA ROUPAS | 5 LITROS | 15000 | 16500 | + | TRIMESTRE 2 | CRESCIMENTO ACIMA 25,01% | 1,0%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"18";"23";"AMAC. CONCENTRADO";"0,5%";"116";"AMAC. CONCENTRADO | 1,5 LITRO | 6000 | 7500 | TRIMESTRE 3 | CRESCIMENTO ENTRE 15,01% E 25% | 0,5%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"19";"24";"AMAC. CONCENTRADO";"1,0%";"117";"AMAC. CONCENTRADO | PACK | 6000 | 7500 | TRIMESTRE 3 | CRESCIMENTO ACIMA 25,01% | 1,0%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"20";"25";"TRIMESTRE 4";"0,5%";"118";"TRIMESTRE 4 | CRESCIMENTO ENTRE 15,01% E 25% | 0,5%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"21";"26";"TRIMESTRE 4";"1,0%";"119";"TRIMESTRE 4 | CRESCIMENTO ACIMA 25,01% | 1,0%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"22";"27";"ITENS PARA ARRASTÃO STOK CENTER";"NULL";"124";"ITENS PARA ARRASTÃO STOK CENTER"
