"view_name";"column_order";"column_name";"data_type";"is_nullable"
"vw_contrapartidas_itens_foco";"19";"periodo_acoes_normalizado";"varchar";"YES"
"vw_contrapartidas_itens_foco";"20";"periodo_acoes_status";"varchar";"YES"
"vw_contrapartidas_itens_foco";"21";"contrapartida_item_foco_id";"bigint";"NO"
"vw_contrapartidas_itens_foco";"22";"linha_ordem";"int";"YES"
"vw_contrapartidas_itens_foco";"23";"produto";"varchar";"YES"
"vw_contrapartidas_itens_foco";"24";"volume_mensal";"varchar";"YES"
"vw_contrapartidas_itens_foco";"25";"volume_periodo";"varchar";"YES"
"vw_contrapartidas_itens_foco";"26";"volume_mensal_numerica";"decimal";"YES"
"vw_contrapartidas_itens_foco";"27";"volume_periodo_numerica";"decimal";"YES"
"vw_contrapartidas_itens_foco";"28";"unidade";"varchar";"YES"
"vw_contrapartidas_itens_foco";"29";"row_excel";"int";"YES"
"vw_contrapartidas_itens_foco";"30";"linha_original";"text";"YES"
"vw_contrapartidas_mensais";"1";"formulario_id";"bigint";"NO"
"vw_contrapartidas_mensais";"2";"importacao_id";"bigint";"NO"
"vw_contrapartidas_mensais";"3";"arquivo_nome";"varchar";"NO"
"vw_contrapartidas_mensais";"4";"processado_em";"datetime";"NO"
"vw_contrapartidas_mensais";"5";"total_abas";"int";"YES"
"vw_contrapartidas_mensais";"6";"aba_origem";"varchar";"NO"
"vw_contrapartidas_mensais";"7";"formulario_index";"int";"NO"
"vw_contrapartidas_mensais";"8";"cliente";"varchar";"YES"
"vw_contrapartidas_mensais";"9";"titulo_plano";"varchar";"YES"
"vw_contrapartidas_mensais";"10";"numero_acordo";"varchar";"YES"
"vw_contrapartidas_mensais";"11";"periodo_original";"varchar";"YES"
"vw_contrapartidas_mensais";"12";"periodo_inicio";"varchar";"YES"
"vw_contrapartidas_mensais";"13";"periodo_fim";"varchar";"YES"
"vw_contrapartidas_mensais";"14";"periodo_normalizado";"varchar";"YES"
"vw_contrapartidas_mensais";"15";"periodo_status";"varchar";"YES"
"vw_contrapartidas_mensais";"16";"periodo_acoes_original";"varchar";"YES"
"vw_contrapartidas_mensais";"17";"periodo_acoes_inicio";"varchar";"YES"
"vw_contrapartidas_mensais";"18";"periodo_acoes_fim";"varchar";"YES"
"vw_contrapartidas_mensais";"19";"periodo_acoes_normalizado";"varchar";"YES"
"vw_contrapartidas_mensais";"20";"periodo_acoes_status";"varchar";"YES"
"vw_contrapartidas_mensais";"21";"contrapartida_mensal_id";"bigint";"NO"
"vw_contrapartidas_mensais";"22";"bloco_origem";"varchar";"NO"
