"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status";"descricao_investimento_id";"linha_ordem";"tipo_registro";"descricao";"valor_original";"valor_numerico";"unidade";"observacao";"lado_layout";"row_excel";"linha_original"
"3";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"RAGAN";"1";"RAGAN";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"11";"3";"descricao_investimento";"FORMA DE PAGAMENTO:";"Obs: mínimo 5 parcelas";"NULL";"NULL";"NULL";"NULL";"30";"FORMA DE PAGAMENTO: | DEPÓSITO EM CONTA - 5 PARCELAS (R$ 1.200,00) - Mediante a entrada de pedido | Obs: mínimo 5 parcelas"
"4";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MASTER";"1";"MASTER ATS";"PLANO DE NEGÓCIOS";"NULL";"MARÇO À DEZEMBRO/26";"2026-03";"2026-12";"2026-03 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"12";"2";"descricao_investimento";"VALOR DE INVESTIMENTO TOTAL:";"30000";"30000.0000";"NULL";"NULL";"NULL";"35";"VALOR DE INVESTIMENTO TOTAL: | 30000"
"4";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MASTER";"1";"MASTER ATS";"PLANO DE NEGÓCIOS";"NULL";"MARÇO À DEZEMBRO/26";"2026-03";"2026-12";"2026-03 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"13";"3";"descricao_investimento";"FORMA DE PAGAMENTO:";"PAGO EM 10x DE R$ 3.000,00";"NULL";"BRL";"NULL";"NULL";"38";"FORMA DE PAGAMENTO: | PAGO EM 10x DE R$ 3.000,00"
"5";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"ITALO";"1";"ITALO SUPERMERCADOS";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"14";"2";"descricao_investimento";"VALOR DE INVESTIMENTO";"NULL";"NULL";"NULL";"NULL";"NULL";"16";"VALOR DE INVESTIMENTO:"
"5";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"ITALO";"1";"ITALO SUPERMERCADOS";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"15";"3";"descricao_investimento";"FORMA DE PAGAMENTO";"NULL";"NULL";"NULL";"NULL";"NULL";"19";"FORMA DE PAGAMENTO:"
"6";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"ITALO";"2";"ITALO SUPERMERCADOS LTDA";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"16";"2";"descricao_investimento";"VALOR DE INVESTIMENTO:";"12000";"12000.0000";"NULL";"NULL";"NULL";"27";"VALOR DE INVESTIMENTO: | 12000"
"6";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"ITALO";"2";"ITALO SUPERMERCADOS LTDA";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"17";"3";"descricao_investimento";"FORMA DE PAGAMENTO:";"6 Parcelas de R$ 2.000";"NULL";"BRL";"NULL";"NULL";"30";"FORMA DE PAGAMENTO: | 6 Parcelas de R$ 2.000"
"7";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"IRMAOS ZAT";"1";"IRMÃOS ZAT LTDA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"18";"2";"descricao_investimento";"PERCENTUAL DE INVESTIMENTO MENSAL (Contrapartidas Ações)";"1,5%";"1.5000";"%";"NULL";"NULL";"34";"PERCENTUAL DE INVESTIMENTO MENSAL (Contrapartidas Ações) | 1,5%"
"7";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"IRMAOS ZAT";"1";"IRMÃOS ZAT LTDA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"19";"3";"descricao_investimento";"PERCENTUAL DE INVESTIMENTO JBP";"SE ATINGIR OBJETIVO FAIXA 1: 1,5%";"NULL";"%";"NULL";"NULL";"37";"PERCENTUAL DE INVESTIMENTO JBP | SE ATINGIR OBJETIVO FAIXA 1: 1,5%"
"7";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"IRMAOS ZAT";"1";"IRMÃOS ZAT LTDA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"20";"4";"descricao_investimento";"SE ATINGIR OBJETIVO FAIXA 2";"2,5%";"2.5000";"%";"NULL";"NULL";"38";"SE ATINGIR OBJETIVO FAIXA 2: 2,5%"
