"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status";"investimento_extra_id";"linha_ordem";"descricao";"valor_original";"valor_numerico";"unidade";"row_excel";"linha_original"
"12";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"UNIDASUL";"1";"UNIDASUL";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO À DEZEMBRO";"NULL";"NULL";"SETEMBRO À DEZEMBRO";"nao_interpretado";"NULL";"NULL";"NULL";"NULL";"NULL";"13";"2";"PROMOTOR:";"SIM";"NULL";"NULL";"81";"PROMOTOR: | SIM"
"13";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"SDB COM";"1";"SDB COM. - FORT ATACADISTA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À MARÇO/26";"2026-01";"2026-03";"2026-01 a 2026-03";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"14";"2";"PROMOTOR:";"Sim";"NULL";"NULL";"92";"PROMOTOR: | Sim"
"14";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"CENTERMASTERSUL";"1";"CENTERMASTERSUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"15";"2";"RETORNO FINANCEIRO (CONTRATO):";"SIM";"NULL";"NULL";"82";"RETORNO FINANCEIRO (CONTRATO): | SIM"
"15";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MYATA";"1";"SUPERMERCADO MYATA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO A DEZEMBRO/2026";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"16";"2";"RETORNO FINANCEIRO (CONTRATO):";"2%";"2.0000";"%";"54";"RETORNO FINANCEIRO (CONTRATO): | 2%"
"16";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"PASSARELA CENTER";"1";"PASSARELA CENTER";"JBP";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"17";"2";"PROMOTOR:";"Sim";"NULL";"NULL";"75";"PROMOTOR: | Sim"
"17";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GUANABARA";"1";"GUANABARA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"18";"2";"PROMOTOR:";"SIM";"NULL";"NULL";"99";"PROMOTOR: | SIM"
"17";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GUANABARA";"1";"GUANABARA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"19";"3";"RETORNO FINANCEIRO (CONTRATO):";"SIM";"NULL";"NULL";"102";"RETORNO FINANCEIRO (CONTRATO): | SIM"
"18";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TRINDADE";"1";"TRINDADE E SEHN LTDA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"20";"2";"PROMOTOR:";"Sim";"NULL";"NULL";"92";"PROMOTOR: | Sim"
"20";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GUARAPARI";"1";"GUARAPARI";"PLANO DE INTRODUÇÃO";"NULL";"OUTUBRO/25 À MARÇO/26";"2025-10";"2026-03";"2025-10 a 2026-03";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"21";"2";"PROMOTOR:";"SIM";"NULL";"NULL";"89";"PROMOTOR: | SIM"
"20";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GUARAPARI";"1";"GUARAPARI";"PLANO DE INTRODUÇÃO";"NULL";"OUTUBRO/25 À MARÇO/26";"2025-10";"2026-03";"2025-10 a 2026-03";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"22";"3";"RETORNO FINANCEIRO (CONTRATO):";"SIM";"NULL";"NULL";"92";"RETORNO FINANCEIRO (CONTRATO): | SIM"
