"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status";"objetivo_compra_id";"linha_ordem";"produto";"embalagem";"objetivo_trimestral";"objetivo_trimestral_numerico";"row_excel";"linha_original"
"11";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MUNDIALMIX";"1";"MUNDIALMIX - BRASIL/IMPERATRIZ";"JBP";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"1";"1";"LAVA ROUPAS";"3 LITROS";"10000";"10000.0000";"111";"LAVA ROUPAS | 3 LITROS | 10000"
"11";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MUNDIALMIX";"1";"MUNDIALMIX - BRASIL/IMPERATRIZ";"JBP";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"2";"2";"LAVA ROUPAS";"5 LITROS";"4000";"4000.0000";"112";"LAVA ROUPAS | 5 LITROS | 4000"
"11";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MUNDIALMIX";"1";"MUNDIALMIX - BRASIL/IMPERATRIZ";"JBP";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"3";"3";"AMAC. CONCENTRADO";"1,5 LITRO + PROMO";"1350";"1350.0000";"113";"AMAC. CONCENTRADO | 1,5 LITRO + PROMO | 1350"
"11";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MUNDIALMIX";"1";"MUNDIALMIX - BRASIL/IMPERATRIZ";"JBP";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"4";"4";"AMAC. CONCENTRADO";"1L + PACK";"2100";"2100.0000";"114";"AMAC. CONCENTRADO | 1L + PACK | 2100"
