"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status";"historico_id";"linha_ordem";"tipo_registro";"ano_bloco";"descricao";"valor_original";"valor_numerico";"unidade";"row_excel";"linha_original"
"8";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GRANDESUL";"1";"GRANDESUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"13";"3";"historico";"2025";"COMPRA 2025 EM VALOR:";"2771818.58";"2771818.5800";"NULL";"19";"COMPRA 2025 EM VALOR: | 2771818.58"
"8";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GRANDESUL";"1";"GRANDESUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"14";"4";"historico";"2025";"SHARE 2025 (ÚLTIMO TRIMESTRE)";"19,6%";"19.6000";"%";"22";"SHARE 2025 (ÚLTIMO TRIMESTRE) | 19,6%"
"9";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TISCHLER";"1";"TISCHLER";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"15";"1";"historico";"2025";"HISTÓRICO";"NULL";"NULL";"NULL";"14";"HISTÓRICO | 2025"
"9";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TISCHLER";"1";"TISCHLER";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"16";"2";"historico";"2025";"MÉDIA COMPRA MÊS (2025) VALOR: (Ago à Dez)";"75283.82";"75283.8200";"NULL";"16";"MÉDIA COMPRA MÊS (2025) VALOR: (Ago à Dez) | 75283.82"
"9";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TISCHLER";"1";"TISCHLER";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"17";"3";"historico";"2025";"COMPRA 2025 EM VALOR (Ago à Dez):";"376419.14";"376419.1400";"NULL";"19";"COMPRA 2025 EM VALOR (Ago à Dez): | 376419.14"
"9";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TISCHLER";"1";"TISCHLER";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"18";"4";"historico";"2025";"CRESCIMENTO 2025 EM VALOR (EM COMPARAÇÃO À 2024): (Ago á Dez)";"9%";"9.0000";"%";"22";"CRESCIMENTO 2025 EM VALOR (EM COMPARAÇÃO À 2024): (Ago á Dez) | 9%"
"9";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TISCHLER";"1";"TISCHLER";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"19";"5";"historico";"2025";"SHARE 2025 (ÚLTIMO TRIMESTRE)";"16,2%";"16.2000";"%";"25";"SHARE 2025 (ÚLTIMO TRIMESTRE) | 16,2%"
"10";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"REDE VIVO";"1";"REDE VIVO";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO/25 À FEVEREIRO/26";"2025-09";"2026-02";"2025-09 a 2026-02";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"20";"1";"historico";"2024";"HISTÓRICO";"NULL";"NULL";"NULL";"14";"HISTÓRICO | 2024"
"10";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"REDE VIVO";"1";"REDE VIVO";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO/25 À FEVEREIRO/26";"2025-09";"2026-02";"2025-09 a 2026-02";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"21";"2";"historico";"2024";"OBJETIVO DE VOLUME/MÊS (2024) CAIXAS:";"6000";"6000.0000";"CX";"16";"OBJETIVO DE VOLUME/MÊS (2024) CAIXAS: | 6000"
"10";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"REDE VIVO";"1";"REDE VIVO";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO/25 À FEVEREIRO/26";"2025-09";"2026-02";"2025-09 a 2026-02";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"22";"3";"historico";"2024";"COMPRA 2025 EM VALOR (Março à Agosto):";"2285689";"2285689.0000";"NULL";"19";"COMPRA 2025 EM VALOR (Março à Agosto): | 2285689"
"10";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"REDE VIVO";"1";"REDE VIVO";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO/25 À FEVEREIRO/26";"2025-09";"2026-02";"2025-09 a 2026-02";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"23";"4";"historico";"2024";"CRESCIMENTO 2025 EM VALOR (EM COMPARAÇÃO À 2024):";"58%";"58.0000";"%";"22";"CRESCIMENTO 2025 EM VALOR (EM COMPARAÇÃO À 2024): | 58%"
