"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status";"historico_id";"linha_ordem";"tipo_registro";"ano_bloco";"descricao";"valor_original";"valor_numerico";"unidade";"row_excel";"linha_original"
"18";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TRINDADE";"1";"TRINDADE E SEHN LTDA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"44";"2";"historico";"2025";"OBJETIVO DE VOLUME/MÊS (2025) CAIXAS:";"1200";"1200.0000";"CX";"16";"OBJETIVO DE VOLUME/MÊS (2025) CAIXAS: | 1200"
"18";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TRINDADE";"1";"TRINDADE E SEHN LTDA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"45";"3";"historico";"2025";"COMPRA 2025 EM VALOR (Jan à Out/25):";"785133";"785133.0000";"NULL";"19";"COMPRA 2025 EM VALOR (Jan à Out/25): | 785133"
"18";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TRINDADE";"1";"TRINDADE E SEHN LTDA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"46";"4";"historico";"2025";"CRESCIMENTO 2025 EM VALOR (EM COMPARAÇÃO À 2024):";"50%";"50.0000";"%";"22";"CRESCIMENTO 2025 EM VALOR (EM COMPARAÇÃO À 2024): | 50%"
"18";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TRINDADE";"1";"TRINDADE E SEHN LTDA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"47";"5";"historico";"2025";"SHARE 2025 (ÚLTIMO TRIMESTRE)";"25%";"25.0000";"%";"25";"SHARE 2025 (ÚLTIMO TRIMESTRE) | 25%"
"19";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STR";"1";"SINDICATO DOS TRABALHADORES RURAIS DE LAJEADO (STR)";"PLANO DE NEGÓCIOS";"NULL";"JULHO/25 À JUNHO/26";"2025-07";"2026-06";"2025-07 a 2026-06";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"48";"1";"historico";"2022";"HISTÓRICO";"NULL";"NULL";"NULL";"14";"HISTÓRICO | 2022"
"19";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STR";"1";"SINDICATO DOS TRABALHADORES RURAIS DE LAJEADO (STR)";"PLANO DE NEGÓCIOS";"NULL";"JULHO/25 À JUNHO/26";"2025-07";"2026-06";"2025-07 a 2026-06";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"49";"2";"historico";"2022";"COMPRA 2024 (JANEIRO À DEZEMBRO):";"743823";"743823.0000";"NULL";"16";"COMPRA 2024 (JANEIRO À DEZEMBRO): | 743823"
"19";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STR";"1";"SINDICATO DOS TRABALHADORES RURAIS DE LAJEADO (STR)";"PLANO DE NEGÓCIOS";"NULL";"JULHO/25 À JUNHO/26";"2025-07";"2026-06";"2025-07 a 2026-06";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"50";"3";"historico";"2022";"CRESCIMENTO VOLUME 2024 (EM COMPARAÇÃO À 2023):";"5%";"5.0000";"%";"19";"CRESCIMENTO VOLUME 2024 (EM COMPARAÇÃO À 2023): | 5%"
"20";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GUARAPARI";"1";"GUARAPARI";"PLANO DE INTRODUÇÃO";"NULL";"OUTUBRO/25 À MARÇO/26";"2025-10";"2026-03";"2025-10 a 2026-03";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"51";"1";"historico";"2024";"HISTÓRICO";"NULL";"NULL";"NULL";"14";"HISTÓRICO | 2024"
"20";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GUARAPARI";"1";"GUARAPARI";"PLANO DE INTRODUÇÃO";"NULL";"OUTUBRO/25 À MARÇO/26";"2025-10";"2026-03";"2025-10 a 2026-03";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"52";"2";"historico";"2024";"COMPRA MÉDIA VOLUME (OUT/24 À MAR/25)CX";"966cx";"966.0000";"CX";"16";"COMPRA MÉDIA VOLUME (OUT/24 À MAR/25)CX | 966cx"
"21";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"ROXO";"1";"ROXO";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"53";"1";"historico";"2025";"HISTÓRICO";"NULL";"NULL";"NULL";"14";"HISTÓRICO | 2025 | Mar-Abr | 2026-05-18 00:00:00"
