"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status";"contrapartida_item_foco_id";"linha_ordem";"produto";"volume_mensal";"volume_periodo";"volume_mensal_numerica";"volume_periodo_numerica";"unidade";"row_excel";"linha_original"
"21";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"ROXO";"1";"ROXO";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"13";"1";"Amaciante Concetrado";"120cx";"1.440cx";"120.0000";"1440.0000";"NULL";"53";"Amaciante Concetrado | 120cx | 1.440cx"
"21";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"ROXO";"1";"ROXO";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"14";"2";"Lava Roupas Liquido";"600cx";"7.200cx";"600.0000";"7200.0000";"NULL";"54";"Lava Roupas Liquido | 600cx | 7.200cx"
"23";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"JEPSEN";"1";"JEPSEN";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"15";"1";"Amaciante Concetrado";"125cx";"1.500cx";"125.0000";"1500.0000";"NULL";"56";"Amaciante Concetrado | 125cx | 1.500cx"
"23";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"JEPSEN";"1";"JEPSEN";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"16";"2";"Lava Roupas Liquido";"635cx";"7.620cx";"635.0000";"7620.0000";"NULL";"57";"Lava Roupas Liquido | 635cx | 7.620cx"
"25";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"BONATO";"1";"L C BONATO";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"17";"1";"Amaciante Concetrado";"100cx";"1.200cx";"100.0000";"1200.0000";"NULL";"37";"Amaciante Concetrado | 100cx | 1.200cx"
"25";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"BONATO";"1";"L C BONATO";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"18";"2";"Lava Roupas Liquido";"300cx";"3.600cx";"300.0000";"3600.0000";"NULL";"38";"Lava Roupas Liquido | 300cx | 3.600cx"
"26";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOCK-ARCHER";"1";"STOCK/ARCHER";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"19";"1";"Amaciante Concetrado";"230cx";"2.760cx";"230.0000";"2760.0000";"NULL";"47";"Amaciante Concetrado | 230cx | 2.760cx"
"26";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOCK-ARCHER";"1";"STOCK/ARCHER";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"20";"2";"Lava Roupas Liquido";"100cx";"1.200cx";"100.0000";"1200.0000";"NULL";"48";"Lava Roupas Liquido | 100cx | 1.200cx"
"31";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"IMEC-DESCO";"1";"IMEC/DESCO";"JBP";"NULL";"FEVEREIRO À DEZEMBRO/26";"2026-02";"2026-12";"2026-02 a 2026-12";"normalizado";"MARÇO/26 À JANEIRO/27";"2026-03";"2027-01";"2026-03 a 2027-01";"normalizado";"21";"1";"Amaciante Concetrado";"800 CAIXAS";"8.800 CAIXAS";"800.0000";"8800.0000";"NULL";"59";"Amaciante Concetrado | 800 CAIXAS | 8.800 CAIXAS"
"31";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"IMEC-DESCO";"1";"IMEC/DESCO";"JBP";"NULL";"FEVEREIRO À DEZEMBRO/26";"2026-02";"2026-12";"2026-02 a 2026-12";"normalizado";"MARÇO/26 À JANEIRO/27";"2026-03";"2027-01";"2026-03 a 2027-01";"normalizado";"22";"2";"Lava Roupas Liquido";"5.000 CAIXAS";"55.000 CAIXAS";"5000.0000";"55000.0000";"NULL";"60";"Lava Roupas Liquido | 5.000 CAIXAS | 55.000 CAIXAS"
